SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-17-2017,Single Family Residential,10630 SE 22nd St,Bellevue,WA,98004,1550000,5,3.5,Enatai,3280,28151,1948,,473,,Sold,,,https://www.redfin.com/WA/Bellevue/10630-SE-22nd-St-98004/home/510351,NWMLS,1138221,N,Y,47.5914937,-122.1979894
PAST SALE,August-17-2017,Single Family Residential,16471 SE 48th Ct,Bellevue,WA,98006,1275000,4,2.5,Vuemont,3580,9560,1997,,356,,Sold,,,https://www.redfin.com/WA/Bellevue/16471-SE-48th-Ct-98006/home/239828,NWMLS,1162592,N,Y,47.5591184,-122.1197524
PAST SALE,August-17-2017,Single Family Residential,5017 120th Ave SE,Bellevue,WA,98006,732000,3,2.0,Newport Hills,1540,10944,1969,,475,,Sold,,,https://www.redfin.com/WA/Bellevue/5017-120th-Ave-SE-98006/home/415970,NWMLS,1145441,N,Y,47.5577888,-122.1777911
PAST SALE,August-17-2017,Single Family Residential,14927 SE 58th St,Bellevue,WA,98006,985000,3,2.5,Somerset,2310,12943,1984,,426,,Sold,,,https://www.redfin.com/WA/Bellevue/14927-SE-58th-St-98006/home/237131,NWMLS,1134416,N,Y,47.5499388,-122.1398183
PAST SALE,August-18-2017,Single Family Residential,16117 SE 45th Pl,Bellevue,WA,98006,1520000,4,5.0,Lakemont,3720,7091,2010,,409,19,Sold,,,https://www.redfin.com/WA/Bellevue/16117-SE-45th-Pl-98006/home/22493643,NWMLS,1158950,N,Y,47.5638858,-122.1245827
PAST SALE,August-18-2017,Single Family Residential,15607 SE 45th Pl,Bellevue,WA,98006,1100000,4,2.5,Whispering Heights,2510,7263,1985,,438,,Sold,,,https://www.redfin.com/WA/Bellevue/15607-SE-45th-Pl-98006/home/239159,NWMLS,1151121,N,Y,47.564213,-122.1320036
PAST SALE,August-18-2017,Single Family Residential,404 163rd Pl SE,Bellevue,WA,98008,850000,3,2.0,Lake Hills,1890,9591,1958,,450,,Sold,,,https://www.redfin.com/WA/Bellevue/404-163rd-Pl-SE-98008/home/427780,NWMLS,1160034,N,Y,47.6058944,-122.1221604
PAST SALE,August-18-2017,Single Family Residential,6511 122nd Pl SE,Bellevue,WA,98006,933000,5,3.0,Newport Hills,2895,12443,1965,,322,,Sold,,,https://www.redfin.com/WA/Bellevue/6511-122nd-Pl-SE-98006/home/415484,NWMLS,1171673,N,Y,47.5431569,-122.1772975
PAST SALE,August-18-2017,Single Family Residential,16429 SE 22nd St,Bellevue,WA,98008,950000,4,3.0,Phantom Lake,2500,9592,1975,,380,,Sold,,,https://www.redfin.com/WA/Bellevue/16429-SE-22nd-St-98008/home/428898,NWMLS,1156369,N,Y,47.5905848,-122.1198007
PAST SALE,August-18-2017,Single Family Residential,1403 104th Ave SE,Bellevue,WA,98004,1775000,3,2.0,Enatai,2490,16110,2014,,713,,Sold,,,https://www.redfin.com/WA/Bellevue/1403-104th-Ave-SE-98004/home/253203,NWMLS,1158355,N,Y,47.5978275,-122.202266
PAST SALE,August-18-2017,Single Family Residential,602 165th Ave NE,Bellevue,WA,98008,800000,3,2.5,Lake Hills,1630,8275,1959,,491,,Sold,,,https://www.redfin.com/WA/Bellevue/602-165th-Ave-NE-98008/home/501800,NWMLS,1160762,N,Y,47.6150547,-122.1198639
PAST SALE,August-18-2017,Single Family Residential,6546 156th Ave SE,Bellevue,WA,98006,1350000,4,3.5,Lakemont,3538,9885,1996,,382,,Sold,,,https://www.redfin.com/WA/Bellevue/6546-156th-Ave-SE-98006/home/235192,NWMLS,1159699,N,Y,47.544599,-122.1310918
PAST SALE,August-18-2017,Single Family Residential,5920 134th Pl SE,Bellevue,WA,98006,1000000,3,2.5,Somerset,2130,9793,1983,,469,,Sold,,,https://www.redfin.com/WA/Bellevue/5920-134th-Pl-SE-98006/home/239953,NWMLS,1168666,N,Y,47.5492802,-122.1602718
PAST SALE,August-18-2017,Single Family Residential,12026 SE 10th St,Bellevue,WA,98005,900000,4,3.0,Woodridge,2530,15850,1968,,356,,Sold,,,https://www.redfin.com/WA/Bellevue/12026-SE-10th-St-98005/home/509428,NWMLS,1151920,N,Y,47.6017691,-122.1791201
PAST SALE,August-18-2017,Single Family Residential,2741 124th Ave SE,Bellevue,WA,98005,850000,3,2.5,Woodridge,1970,3065,1996,,431,133,Sold,,,https://www.redfin.com/WA/Bellevue/2741-124th-Ave-SE-98005/home/507903,NWMLS,1159653,N,Y,47.5854464,-122.1762307
PAST SALE,August-18-2017,Single Family Residential,9330 Sunset Way,Bellevue,WA,98004,1850000,3,1.0,Vuecrest,1700,12803,1949,,1088,,Sold,,,https://www.redfin.com/WA/Bellevue/9330-Sunset-Way-98004/home/252142,NWMLS,1165532,N,Y,47.6181981,-122.2157962
PAST SALE,August-21-2017,Single Family Residential,14843 SE 65th St,Bellevue,WA,98006,979000,4,2.5,Forest Ridge,3430,13510,1989,,285,,Sold,,,https://www.redfin.com/WA/Bellevue/14843-SE-65th-St-98006/home/238218,NWMLS,1160459,N,Y,47.5443729,-122.142459
PAST SALE,August-21-2017,Single Family Residential,6133 160th Ave SE,Bellevue,WA,98004,1925000,4,3.0,Lakemont,4819,33330,1988,,399,50,Sold,,,https://www.redfin.com/WA/Bellevue/6133-160th-Ave-SE-98006/home/419569,NWMLS,1145816,N,Y,47.5486859,-122.12652
PAST SALE,August-21-2017,Single Family Residential,5154 150th Pl SE,Bellevue,WA,98006,1315000,6,4.5,Somerset,4070,16275,1987,,323,2,Sold,,,https://www.redfin.com/WA/Bellevue/5154-150th-Pl-SE-98006/home/235005,NWMLS,1153899,N,Y,47.5549732,-122.1390139
