SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-11-2018,Single Family Residential,20004 103rd Ct NE,Bothell,WA,98011,699000,5,3.0,Maywood Hills,2770,7900,1978,,252,,Sold,,,https://www.redfin.com/WA/Bothell/20004-103rd-Ct-NE-98011/home/285883,NWMLS,1306786,N,Y,47.7730167,-122.2026088
PAST SALE,July-11-2018,Single Family Residential,17506 14th Ave SE,Bothell,WA,98012,580000,4,2.5,Bothell,2126,3598,2009,,273,19,Sold,,,https://www.redfin.com/WA/Bothell/17506-14th-Ave-SE-98012/unit-11/home/2913591,NWMLS,1310824,N,Y,47.8390454,-122.2137268
PAST SALE,July-11-2018,Single Family Residential,20104 94th Dr NE,Bothell,WA,98011,775000,4,2.5,Downtown Bothell,2471,5730,2014,,314,54,Sold,,,https://www.redfin.com/WA/Bothell/20104-94th-Dr-NE-98011/unit-4/home/59704155,NWMLS,1307536,N,Y,47.7748854,-122.2148521
PAST SALE,July-11-2018,Single Family Residential,1303 192nd Pl SE #1,Bothell,WA,98012,632125,4,2.5,Bothell,2399,5836,2018,,263,,Sold,,,https://www.redfin.com/WA/Bothell/1303-192nd-Pl-SE-98012/unit-1/home/167337206,NWMLS,1293041,N,Y,47.823764065812675,-122.21434599260795
PAST SALE,July-11-2018,Single Family Residential,17926 41st Dr SE Unit PND19,Bothell,WA,98012,644841,3,2.5,Bothell,2050,3223,2018,,315,96,Sold,,,https://www.redfin.com/WA/Bothell/17926-41st-Dr-SE-98012/unit-PND19/home/177187913,NWMLS,1278344,N,Y,47.8348195,-122.1767402
PAST SALE,July-12-2018,Single Family Residential,4002 SE 152nd Pl,Bothell,WA,98012,529950,4,3.0,Everett,1998,3200,2004,,265,,Sold,,,https://www.redfin.com/WA/Bothell/4002-152nd-Pl-SE-98012/home/2912420,NWMLS,1318702,N,Y,47.8591191,-122.1787262
PAST SALE,July-12-2018,Single Family Residential,17701 Brook Blvd,Bothell,WA,98012,500000,5,2.0,Mays Pond,1888,7841,1972,,265,28,Sold,,,https://www.redfin.com/WA/Bothell/17701-Brook-Blvd-98012/home/2677465,NWMLS,1252988,N,Y,47.8371915,-122.2040152
PAST SALE,July-12-2018,Single Family Residential,10014 NE 153rd St,Bothell,WA,98011,920000,3,2.5,Bridlewood,2450,11165,1990,,376,24,Sold,,,https://www.redfin.com/WA/Bothell/10014-NE-153rd-St-98011/home/285014,NWMLS,1311074,N,Y,47.739245,-122.2064866
PAST SALE,,Single Family Residential,3908 153rd Pl SE,Mill Creek,WA,98012,400000,4,2.5,,2024,3920,2005,,198,,,,,https://www.redfin.com/WA/Mill-Creek/3908-153rd-Pl-SE-98012/home/2910808,,,N,Y,47.8584417,-122.1796547
PAST SALE,July-12-2018,Single Family Residential,18503 12th Dr SE,Bothell,WA,98012,660000,4,2.5,Bothell,2454,5227,2001,,269,50,Sold,,,https://www.redfin.com/WA/Bothell/18503-12th-Dr-SE-98012/home/2886812,NWMLS,1306866,N,Y,47.8302748,-122.2151175
PAST SALE,July-12-2018,Single Family Residential,21716 9th Ave W,Bothell,WA,98021,513000,4,3.0,Queensborough,2354,7405,1977,,218,,Sold,,,https://www.redfin.com/WA/Bothell/21716-9th-Ave-W-98021/home/2776048,NWMLS,1307266,N,Y,47.8009518,-122.2460187
PAST SALE,July-12-2018,Single Family Residential,17706 88th Pl NE Lot 04,Bothell,WA,98011,1018018,5,3.0,Kenmore,3120,6426,2018,,326,50,Sold,,,https://www.redfin.com/WA/Bothell/17706-88th-Pl-NE-98011/unit-04/home/145347424,NWMLS,1276092,N,Y,47.7563712,-122.2228735
PAST SALE,July-13-2018,Single Family Residential,18527 40th Ave SE,Bothell,WA,98012,725000,3,2.5,North Creek,2409,4504,2012,,301,42,Sold,,,https://www.redfin.com/WA/Bothell/18527-40th-Ave-SE-98012/home/45389913,NWMLS,1306828,N,Y,47.8291363,-122.1785811
PAST SALE,July-13-2018,Single Family Residential,19809 N Danvers Rd,Lynnwood,WA,98036,605000,5,3.0,Floral Hills,2178,10890,2011,,278,,Sold,,,https://www.redfin.com/WA/Lynnwood/19809-N-Danvers-Rd-98036/home/18241900,NWMLS,1306790,N,Y,47.8180983,-122.2377775
PAST SALE,July-13-2018,Single Family Residential,4620 Strumme Rd,Bothell,WA,98012,690000,4,2.5,Bothell,2637,21780,1970,,262,,Sold,,,https://www.redfin.com/WA/Bothell/4620-Strumme-Rd-98012/home/2466456,NWMLS,1291693,N,Y,47.8516477,-122.1696504
PAST SALE,July-13-2018,Single Family Residential,2311 198th St SE,Bothell,WA,98012,735000,4,3.0,Bothell,2838,6534,2001,,259,,Sold,,,https://www.redfin.com/WA/Mill-Creek/2311-198th-St-SE-98012/home/2891551,NWMLS,1299345,N,Y,47.8186549,-122.201076
PAST SALE,July-13-2018,Single Family Residential,18611 29th Ave SE,Bothell,WA,98012,900000,3,2.5,North Creek,2916,25700,1989,,309,20,Sold,,,https://www.redfin.com/WA/Bothell/18611-29th-Ave-SE-98012/home/2815403,NWMLS,1307872,N,Y,47.8286201,-122.1925726
PAST SALE,July-13-2018,Single Family Residential,23613 NE 44th Dr #108,Bothell,WA,98021,914950,4,3.5,Canyon Park,3316,4010,2017,,276,70,Sold,,,https://www.redfin.com/WA/Bothell/23613-44th-Dr-SE-98021/unit-108/home/175920877,NWMLS,1180474,N,Y,47.782593,-122.1734664
PAST SALE,July-13-2018,Single Family Residential,10812 NE 154th Pl,Bothell,WA,98011,705000,4,2.5,Norway Hill,2080,9660,1969,,339,,Sold,,,https://www.redfin.com/WA/Bothell/10812-NE-154th-Pl-98011/home/459210,NWMLS,1296954,N,Y,47.7400209,-122.1964872
PAST SALE,,Single Family Residential,3133 166th Pl SE,Bothell,WA,98012,517000,3,2.0,,1733,12197,1982,,298,,,,,https://www.redfin.com/WA/Bothell/3133-166th-Pl-SE-98012/home/2800944,,,N,Y,47.8473225,-122.1890932
PAST SALE,July-16-2018,Single Family Residential,1423 242nd Pl SE,Bothell,WA,98021,1203949,5,3.5,Bothell,3558,10279,2017,,338,,Sold,,,https://www.redfin.com/WA/Bothell/1423-242nd-Pl-SE-98021/home/143928748,NWMLS,1199621,N,Y,47.777962,-122.213768
PAST SALE,July-16-2018,Single Family Residential,210 Hubbard Rd Unit A,Lynnwood,WA,98036,521000,4,2.5,Lynnwood,2316,5087,2006,,225,15,Sold,,,https://www.redfin.com/WA/LYNNWOOD/210-HUBBARD-RD-98036/unit-1/home/11882946,NWMLS,1295004,N,Y,47.806719,-122.235874
PAST SALE,July-16-2018,Single Family Residential,21525 43rd Dr SE Unit CT 16,Bothell,WA,98021,940165,6,2.5,Bothell,3420,5341,2018,,275,71,Sold,,,https://www.redfin.com/WA/Bothell/21525-43rd-Dr-SE-98021/unit-CT-16/home/177187912,NWMLS,1270916,N,Y,47.8017783,-122.1745635
PAST SALE,July-16-2018,Single Family Residential,18531 33rd Ave SE,Bothell,WA,98012,757000,3,2.5,Bothell,2559,5663,2003,,296,25,Sold,,,https://www.redfin.com/WA/Bothell/18531-33rd-Ave-SE-98012/home/2907043,NWMLS,1299184,N,Y,47.8286375,-122.1889518
