ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
15116 NE 67th Pl,https://www.redfin.com/WA/Redmond/15116-NE-67th-Pl-98052/home/515463,September-21-2020,September-2020,98052,1976,522,568
10211 167th Pl NE,https://www.redfin.com/WA/Redmond/10211-167th-Pl-NE-98052/home/322926,September-21-2020,September-2020,98052,1976,559,605
8856 237th Pl NE,https://www.redfin.com/WA/Redmond/8856-237th-Pl-NE-98053/home/2080924,September-21-2020,September-2020,98053,2005,375,392
16230 NE 43rd Ct,https://www.redfin.com/WA/Redmond/16230-NE-43rd-Ct-98052/home/21884164,September-22-2020,September-2020,98052,2004,557,575
17409 NE 141st St,https://www.redfin.com/WA/Redmond/17409-NE-141st-St-98052/home/451174,September-22-2020,September-2020,98052,1984,435,473
5211 154th Ave NE,https://www.redfin.com/WA/Redmond/5211-154th-Ave-NE-98052/home/505382,September-23-2020,September-2020,98052,1980,535,577
6621 229th Pl NE,https://www.redfin.com/WA/Redmond/6621-229th-Pl-NE-98053/home/445494,September-24-2020,September-2020,98053,1980,547,589
16129 NE 109th St,https://www.redfin.com/WA/Redmond/16129-NE-109th-St-98052/home/325754,September-24-2020,September-2020,98052,1980,643,685
11933 165th Pl NE,https://www.redfin.com/WA/Redmond/11933-165th-Pl-NE-98052/home/22536814,September-24-2020,September-2020,98052,2010,382,394
12906 182nd Ave NE,https://www.redfin.com/WA/Redmond/12906-182nd-Ave-NE-98052/home/450122,September-24-2020,September-2020,98052,1990,278,310
27037 NE 29th Pl,https://www.redfin.com/WA/Redmond/27037-NE-29th-Pl-98053/home/109660247,September-24-2020,September-2020,98053,2018,376,380
18915 NE 20th Ct,https://www.redfin.com/WA/Redmond/18915-NE-20th-Ct-98052/home/502236,September-24-2020,September-2020,98052,1978,433,477
