ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
3659 248th Ave SE,https://www.redfin.com/WA/Issaquah/3659-248th-Ave-SE-98029/home/438767,June-13-2021,June-2021,98029,1989,603,636
24322 SE Mirrormont Blvd,https://www.redfin.com/WA/Issaquah/24322-SE-Mirrormont-Blvd-98027/home/425447,June-14-2021,June-2021,98027,1978,282,326
485 Indigo Pl NW,https://www.redfin.com/WA/Issaquah/485-Indigo-Pl-NW-98027/home/421279,June-14-2021,June-2021,98027,1985,707,744
4309 245th Ave SE,https://www.redfin.com/WA/Issaquah/4309-245th-Ave-SE-98029/home/439679,June-14-2021,June-2021,98029,1989,391,424
18701 SE 122nd St,https://www.redfin.com/WA/Issaquah/18701-SE-122nd-St-98027/home/409431,June-15-2021,June-2021,98027,1981,911,952
24524 SE 43rd Pl,https://www.redfin.com/WA/Issaquah/24524-SE-43rd-Pl-98029/home/438366,June-16-2021,June-2021,98029,1987,583,618
5691 178th Ave SE,https://www.redfin.com/WA/Bellevue/5691-178th-Ave-SE-98006/home/419091,June-16-2021,June-2021,98006,1998,385,409
1016 Pine Crest Cir NE,https://www.redfin.com/WA/Issaquah/1016-Pine-Crest-Cir-NE-98029/home/55551333,June-16-2021,June-2021,98029,2016,444,450
25230 SE 35th St,https://www.redfin.com/WA/Issaquah/25230-SE-35th-St-98029/home/440255,June-16-2021,June-2021,98029,1990,549,581
4712 241st Ave SE,https://www.redfin.com/WA/Issaquah/4712-241st-Ave-SE-98029/home/439475,June-16-2021,June-2021,98029,1988,512,546
1128 NE Katsura St,https://www.redfin.com/WA/Issaquah/1128-NE-Katsura-St-98029/home/466578,June-17-2021,June-2021,98029,2003,520,539
25640 SE 149th St,https://www.redfin.com/WA/Issaquah/25640-SE-149th-St-98027/home/424533,June-17-2021,June-2021,98027,1976,467,513
1810 NW Goode Pl,https://www.redfin.com/WA/Issaquah/1810-NW-Goode-Pl-98027/home/421599,June-17-2021,June-2021,98027,1963,301,360
313 NE Denny Way,https://www.redfin.com/WA/Issaquah/313-NE-Denny-Way-98029/home/22525254,June-17-2021,June-2021,98029,2013,574,583
1194 Westridge (Lot 65) Way NE,https://www.redfin.com/WA/Issaquah/1194-Westridge-Way-NE-98029/home/174075427,June-18-2021,June-2021,98027,2020,426,428
26919 SE 146 St,https://www.redfin.com/WA/Issaquah/26919-SE-146th-St-98027/home/424868,June-18-2021,June-2021,98027,1981,333,374
2591 NE Ivy Way,https://www.redfin.com/WA/Issaquah/2591-NE-Ivy-Way-98029/home/466513,June-18-2021,June-2021,98029,2003,628,647
2445 NW Oakcrest Dr,https://www.redfin.com/WA/Issaquah/2445-NW-Oakcrest-Dr-98027/home/421141,June-18-2021,June-2021,98027,1985,493,530
4828 243rd Cir SE,https://www.redfin.com/WA/Issaquah/4828-243rd-Cir-SE-98029/home/44657045,June-18-2021,June-2021,98029,2013,500,509
1245 Oakcreek Pl NW,https://www.redfin.com/WA/Issaquah/1245-Oakcreek-Pl-NW-98027/home/421170,June-18-2021,June-2021,98027,1985,607,644
1772 12th Ave NE,https://www.redfin.com/WA/Issaquah/1772-12th-Ave-NE-98029/home/466481,June-18-2021,June-2021,98029,2003,637,656
2185 SW Squak Mountain Loop,https://www.redfin.com/WA/Issaquah/2185-Squak-Mountain-Loop-SW-98027/home/421032,June-18-2021,June-2021,98027,1983,493,532
3314 SE 241st Ave,https://www.redfin.com/WA/Issaquah/3314-241st-Ave-SE-98029/home/439829,June-18-2021,June-2021,98029,1990,480,512
4120 257th Ct SE,https://www.redfin.com/WA/Issaquah/4120-257th-Ct-SE-98029/home/437036,June-21-2021,June-2021,98029,1993,539,568
12924 205th Ct SE,https://www.redfin.com/WA/Issaquah/12924-205th-Ct-SE-98027/home/419855,June-21-2021,June-2021,98027,1988,399,433
2570 NW Stoney Creek Dr,https://www.redfin.com/WA/Issaquah/2570-NW-Stoney-Creek-Dr-98027/home/22717952,June-21-2021,June-2021,98027,2009,440,453
3665 248th Ave SE,https://www.redfin.com/WA/Issaquah/3665-248th-Ave-SE-98029/home/438766,June-21-2021,June-2021,98029,1989,614,647
2166 NE Morgan Ln,https://www.redfin.com/WA/Issaquah/2166-NE-Morgan-Ln-98029/home/8188324,June-22-2021,June-2021,98029,2012,453,463
4304 184th Ave SE,https://www.redfin.com/WA/Issaquah/4304-184th-Ave-SE-98027/home/327461,June-22-2021,June-2021,98027,2002,628,648
24212 SE 147th Pl,https://www.redfin.com/WA/Issaquah/24212-SE-147th-Pl-98027/home/2061273,June-22-2021,June-2021,98027,2018,708,712
1863 10th Ave NE,https://www.redfin.com/WA/Issaquah/1863-10th-Ave-NE-98029/home/12092661,June-22-2021,June-2021,98029,2008,516,530
4241 191st Ave SE,https://www.redfin.com/WA/Issaquah/4241-191st-Ave-SE-98027/home/326161,June-23-2021,June-2021,98027,1978,753,797
4623 242nd Ave SE,https://www.redfin.com/WA/Issaquah/4623-242nd-Ave-SE-98029/home/438260,June-23-2021,June-2021,98029,1989,617,650
22958 SE 43rd Pl,https://www.redfin.com/WA/Sammamish/22958-SE-43rd-Pl-98075/home/268931,June-23-2021,June-2021,98075,1995,592,619
4327 243rd Ave SE,https://www.redfin.com/WA/Issaquah/4327-243rd-Ave-SE-98029/home/438648,June-24-2021,June-2021,98029,1987,651,686
33303 SE 124th St,https://www.redfin.com/WA/Issaquah/33303-SE-124th-St-98027/home/18890446,June-24-2021,June-2021,98027,2013,558,567
3938 259th Ave SE,https://www.redfin.com/WA/Issaquah/3938-259th-Ave-SE-98029/home/439147,June-24-2021,June-2021,98029,1991,575,606
1040 2nd Ave SE,https://www.redfin.com/WA/Issaquah/1040-2nd-Ave-SE-98027/home/421585,June-24-2021,June-2021,98027,1961,533,594
1624 24th Ave NE,https://www.redfin.com/WA/Issaquah/1624-24th-Ave-NE-98029/home/12448514,June-24-2021,June-2021,98029,2006,526,542
1250 Westridge (Lot 63) Way NE,https://www.redfin.com/WA/Issaquah/1250-Westridge-Way-NE-98027/home/174075425,June-24-2021,June-2021,98029,2021,471,472
25048 SE 40th Dr,https://www.redfin.com/WA/Issaquah/25048-SE-40th-Dr-98029/home/439762,June-24-2021,June-2021,98029,1995,591,618
1465 NE 29th Pl,https://www.redfin.com/WA/Issaquah/1465-29th-Pl-NE-98029/home/8187931,June-24-2021,June-2021,98029,2007,490,505
1689 14th Pl NE,https://www.redfin.com/WA/Issaquah/1689-14th-Pl-NE-98029/home/44657358,June-25-2021,June-2021,98029,2013,534,543
15855 266 Ave SE,https://www.redfin.com/WA/Issaquah/15855-266th-Ave-SE-98027/home/424936,June-25-2021,June-2021,98027,1978,376,420
19919 SE 128th Way,https://www.redfin.com/WA/Issaquah/19919-SE-128th-Way-98027/home/2060478,June-25-2021,June-2021,98027,1987,236,271
16808 240th Ave SE,https://www.redfin.com/WA/Maple-Valley/16808-240th-Ave-SE-98038/home/423839,June-28-2021,June-2021,98038,1980,350,392
12058 198th Ave SE,https://www.redfin.com/WA/Issaquah/12058-198th-Ave-SE-98027/home/419620,June-28-2021,June-2021,98027,1974,373,421
22425 SE May Valley Rd,https://www.redfin.com/WA/Issaquah/22425-SE-May-Valley-Rd-98027/home/422349,June-28-2021,June-2021,98027,1957,340,405
22530 SE 46th Pl,https://www.redfin.com/WA/Issaquah/22530-SE-46th-Pl-98075/home/268002,June-28-2021,June-2021,98075,1989,600,633
24325 SE 46th Way,https://www.redfin.com/WA/Issaquah/24325-SE-46th-Way-98029/home/440165,June-28-2021,June-2021,98029,1991,561,592
5025 240th Pl SE,https://www.redfin.com/WA/Issaquah/5025-240th-Pl-SE-98029/home/35624903,June-29-2021,June-2021,98029,2012,434,444
1722 25th Walk NE,https://www.redfin.com/WA/Issaquah/1722-25th-Walk-NE-98029/home/8186621,June-29-2021,June-2021,98029,2006,457,473
1438 NE Katsura St,https://www.redfin.com/WA/Issaquah/1438-NE-Katsura-St-98029/home/466792,June-29-2021,June-2021,98029,1999,532,555
