ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
2922 183rd Pl SE,https://www.redfin.com/WA/Bothell/2922-183rd-Pl-SE-98012/home/39951704,June-22-2017,June-2017,98012,2010,256,268
3810 218th Place SE,https://www.redfin.com/WA/Bothell/3810-218th-Pl-SE-98021/home/40449733,June-22-2017,June-2017,98021,2013,334,343
112 184th Pl SW,https://www.redfin.com/WA/Bothell/112-184th-Pl-SW-98012/home/112392313,June-22-2017,June-2017,98012,2016,234,240
21057 43rd Dr SE 16,https://www.redfin.com/WA/Bothell/21057-43rd-Dr-SE-98021/unit-16/home/177707322,June-22-2017,June-2017,98021,2017,240,245
205 195th Pl SW,https://www.redfin.com/WA/Bothell/205-195th-Pl-SW-98012/home/21501317,June-22-2017,June-2017,98012,2008,264,278
4121 Strumme Rd,https://www.redfin.com/WA/Bothell/4121-Strumme-Rd-98012/home/113604272,June-22-2017,June-2017,98012,2017,233,238
17904 25th Dr SE,https://www.redfin.com/WA/Bothell/17904-25th-Dr-SE-98012/home/2784967,June-22-2017,June-2017,98012,1979,285,328
18506 44th. Dr SE,https://www.redfin.com/WA/Bothell/18506-44th-Dr-SE-98012/home/104502708,June-23-2017,June-2017,98012,2016,237,243
24104 23rd Ave SE,https://www.redfin.com/WA/Bothell/24104-23rd-Ave-SE-98021/home/2623130,June-23-2017,June-2017,98021,1987,250,285
4122 187th Pl SE 11,https://www.redfin.com/WA/Bothell/4122-187th-Pl-SE-98012/unit-11/home/144408241,June-23-2017,June-2017,98012,2017,261,266
25 175th Pl SE,https://www.redfin.com/WA/Bothell/25-175th-Pl-SE-98012/home/113982951,June-23-2017,June-2017,98012,2017,260,265
10203 NE 156th Pl,https://www.redfin.com/WA/Bothell/10203-NE-156th-Pl-98011/home/284487,June-23-2017,June-2017,98011,1997,278,303
19522 28th Dr SE,https://www.redfin.com/WA/Bothell/19522-28th-Dr-SE-98012/home/2539467,June-23-2017,June-2017,98012,1968,130,184
21515 43rd Dr SE 14,https://www.redfin.com/WA/Bothell/21515-43rd-Dr-SE-98021/unit-14/home/177184065,June-23-2017,June-2017,98021,2017,250,255
4126 174th St SE,https://www.redfin.com/WA/Bothell/4126-174th-St-SE-98012/home/69351828,June-23-2017,June-2017,98012,2015,251,258
1332 237th Pl SW,https://www.redfin.com/WA/Bothell/1332-237th-Pl-SW-98021/home/2866034,June-23-2017,June-2017,98021,1999,282,305
22213 32nd Ave SE,https://www.redfin.com/WA/Bothell/22213-32nd-Ave-SE-98021/home/28556546,June-23-2017,June-2017,98021,2010,282,294
20812 10th Ave SE,https://www.redfin.com/WA/Bothell/20812-10th-Ave-SE-98021/home/39951697,June-23-2017,June-2017,98021,2010,250,262
18330 Baldwin Rd,https://www.redfin.com/WA/Bothell/18330-Baldwin-Rd-98012/home/2647514,June-23-2017,June-2017,98012,1971,163,214
12623 NE 192nd Pl,https://www.redfin.com/WA/Bothell/12623-NE-192nd-Pl-98011/home/59705036,June-23-2017,June-2017,98011,1978,175,219
1527 170th St SE,https://www.redfin.com/WA/Bothell/1527-170th-St-SE-98012/home/28598723,June-23-2017,June-2017,98012,2017,249,254
19819 100th Ave NE,https://www.redfin.com/WA/Bothell/19819-100th-Ave-NE-98011/home/287240,June-26-2017,June-2017,98011,1952,452,522
19427 Meridian Ave S 37,https://www.redfin.com/WA/Bothell/19427-Meridian-Ave-S-98012/unit-37/home/109593210,June-26-2017,June-2017,98012,2016,255,261
21233 3RD Ave W,https://www.redfin.com/WA/Bothell/21233-3rd-Ave-W-98021/home/2766303,June-26-2017,June-2017,98021,1968,414,468
21904 7th Pl W,https://www.redfin.com/WA/Bothell/21904-7th-Pl-W-98021/home/2769337,June-26-2017,June-2017,98021,1970,240,292
4732 212th St SE,https://www.redfin.com/WA/Bothell/4732-212th-St-SE-98021/home/2600030,June-26-2017,June-2017,98021,1986,285,321
4517 185th. Pl SE,https://www.redfin.com/WA/Bothell/4517-185th-Pl-SE-98012/home/107596773,June-26-2017,June-2017,98012,2017,242,247
