ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
16207 NE 19th Pl,https://www.redfin.com/WA/Bellevue/16207-NE-19th-Pl-98008/home/432589,June-27-2017,June-2017,98008,1966,494,550
3202 W Lake Sammamish Pkwy SE,https://www.redfin.com/WA/Bellevue/3202-W-Lake-Sammamish-Pkwy-SE-98008/home/326087,June-27-2017,June-2017,98008,2002,386,406
10649 SE 29th St,https://www.redfin.com/WA/Beaux-Arts-Village/10649-SE-29th-St-98004/home/253141,June-27-2017,June-2017,98004,1948,640,714
6128 141st Ct NE,https://www.redfin.com/WA/Redmond/6128-141st-Ct-NE-98052/home/514279,June-27-2017,June-2017,98052,1984,398,436
13724 SE 42nd St,https://www.redfin.com/WA/Bellevue/13724-SE-42nd-St-98006/home/236114,June-28-2017,June-2017,98006,1985,525,562
267 140th Ave NE,https://www.redfin.com/WA/Bellevue/267-140th-Ave-NE-98005/home/507969,June-28-2017,June-2017,98005,1977,548,593
5892 169th Ave SE,https://www.redfin.com/WA/Bellevue/5892-169th-Ave-SE-98006/home/418185,June-28-2017,June-2017,98006,1995,351,378
13250 SE 43rd Pl,https://www.redfin.com/WA/Bellevue/13250-SE-43rd-Pl-98006/home/237865,June-28-2017,June-2017,98006,1974,367,415
2543 171st Ave SE,https://www.redfin.com/WA/Bellevue/2543-171-Ave-SE-98008/home/429181,June-28-2017,June-2017,98008,1985,426,463
6323 160th Pl SE,https://www.redfin.com/WA/Bellevue/6323-160th-Pl-SE-98006/home/418305,June-28-2017,June-2017,98006,1989,377,410
13248 SE 54th Pl,https://www.redfin.com/WA/Bellevue/13248-SE-54th-Pl-98006/home/240682,June-28-2017,June-2017,98006,1984,511,549
12721 NE 28th St,https://www.redfin.com/WA/Bellevue/12721-NE-28th-St-98005/home/507178,June-28-2017,June-2017,98005,1966,408,464
5220 163rd Pl SE,https://www.redfin.com/WA/Bellevue/5220-163rd-Pl-SE-98006/home/22223651,June-28-2017,June-2017,98006,2009,291,304
1319 142nd Pl SE,https://www.redfin.com/WA/Bellevue/1319-142nd-Pl-SE-98007/home/425898,June-28-2017,June-2017,98007,1955,420,487
2605 166th Ave SE,https://www.redfin.com/WA/Bellevue/2605-166th-Ave-SE-98008/home/428331,June-28-2017,June-2017,98008,1962,579,639
5932 135th Pl SE,https://www.redfin.com/WA/Bellevue/5932-135th-Pl-SE-98006/home/235912,June-28-2017,June-2017,98006,1981,419,460
14133 SE 44th St,https://www.redfin.com/WA/Bellevue/14133-SE-44-St-98006/home/235259,June-29-2017,June-2017,98006,1977,556,601
14914 SE 47th Ct,https://www.redfin.com/WA/Bellevue/14914-SE-47th-Ct-98006/home/235097,June-29-2017,June-2017,98006,1972,423,473
11834 SE 54th Pl,https://www.redfin.com/WA/Bellevue/11834-SE-54th-Pl-98006/home/413254,June-29-2017,June-2017,98006,1959,488,551
5975 178th Ct SE,https://www.redfin.com/WA/Bellevue/5975-178th-Ct-SE-98006/home/22473098,June-29-2017,June-2017,98006,2014,409,417
16842 NE 6th St,https://www.redfin.com/WA/Bellevue/16842-NE-6th-St-98008/home/500313,June-29-2017,June-2017,98008,1960,463,525
4772 119th Ave SE,https://www.redfin.com/WA/Bellevue/4772-119th-Ave-SE-98006/home/416005,June-29-2017,June-2017,98006,1955,359,426
15465 SE 60th Pl,https://www.redfin.com/WA/Bellevue/15465-SE-60th-Pl-98006/home/238973,June-29-2017,June-2017,98006,1997,408,433
5483 159th Pl SE,https://www.redfin.com/WA/Bellevue/5483-159th-Pl-SE-98006/home/239132,June-29-2017,June-2017,98006,1998,387,411
6024 118th Ave SE,https://www.redfin.com/WA/Bellevue/6024-118th-Ave-SE-98006/home/413627,June-29-2017,June-2017,98006,1989,315,348
3005 109th Ave SE,https://www.redfin.com/WA/Bellevue/3005-109th-Ave-SE-98004/home/510901,June-29-2017,June-2017,98004,1950,502,574
161 165th Ave NE,https://www.redfin.com/WA/Bellevue/161-165th-Ave-NE-98008/home/499993,June-29-2017,June-2017,98008,1960,400,462
17104 NE 5th St,https://www.redfin.com/WA/Bellevue/17104-NE-5th-St-98008/home/499915,June-29-2017,June-2017,98008,1961,373,434
17 vashon Ky,https://www.redfin.com/WA/Bellevue/17-Vashon-Ky-98006/home/409413,June-29-2017,June-2017,98006,1971,544,595
542 W Lake Sammamish Pkwy SE,https://www.redfin.com/WA/Bellevue/542-W-Lake-Sammamish-Pkwy-SE-98008/home/327128,June-30-2017,June-2017,98008,1987,509,544
1308 183rd Ave NE,https://www.redfin.com/WA/Bellevue/1308-183rd-Ave-NE-98008/home/505020,June-30-2017,June-2017,98008,1967,322,377
6436 166th Pl SE,https://www.redfin.com/WA/Bellevue/6436-166th-Pl-SE-98006/home/418920,June-30-2017,June-2017,98006,2001,327,348
216 130th Pl NE,https://www.redfin.com/WA/Bellevue/216-130th-Pl-NE-98005/home/507051,June-30-2017,June-2017,98005,1961,395,456
29 94th Ave NE,https://www.redfin.com/WA/Bellevue/29-94th-Ave-NE-98004/home/251777,June-30-2017,June-2017,98004,1942,449,529
1004 141st Pl NE,https://www.redfin.com/WA/Bellevue/1004-141st-Pl-NE-98007/home/499776,June-30-2017,June-2017,98007,1982,487,527
14418 SE 61st St,https://www.redfin.com/WA/Bellevue/14418-SE-61st-St-98006/home/239645,June-30-2017,June-2017,98006,1981,436,477
10454 NE 17th St,https://www.redfin.com/WA/Bellevue/10454-NE-17th-St-98004/home/506099,June-30-2017,June-2017,98004,1952,868,938
3512 170th Ave NE,https://www.redfin.com/WA/Bellevue/3512-170th-Ave-NE-98008/home/432900,June-30-2017,June-2017,98008,1975,389,436
16349 SE 66th St,https://www.redfin.com/WA/Bellevue/16349-SE-66th-St-98006/home/418274,June-30-2017,June-2017,98006,2003,397,416
13805 SE 52nd Pl,https://www.redfin.com/WA/Bellevue/13805-SE-52nd-Pl-98006/home/235487,June-30-2017,June-2017,98006,1979,409,452
2560 125th Ave NE,https://www.redfin.com/WA/Bellevue/2560-125th-Ave-NE-98005/home/508036,June-30-2017,June-2017,98005,1925,219,316
17043 SE 59th St St,https://www.redfin.com/WA/Bellevue/17043-SE-59th-St-98006/home/418863,June-30-2017,June-2017,98006,1970,405,457
1913 161st Ave NE,https://www.redfin.com/WA/Bellevue/1913-161st-Ave-NE-98008/home/431907,June-30-2017,June-2017,98008,1966,348,404
16247 NE 25th St,https://www.redfin.com/WA/Bellevue/16247-NE-25th-St-98008/home/431681,June-30-2017,June-2017,98008,1958,421,485
10619 SE 20 St,https://www.redfin.com/WA/Bellevue/10619-SE-20th-St-98004/home/510158,June-30-2017,June-2017,98004,2004,508,526
2715 106th Pl SE,https://www.redfin.com/WA/Beaux-Arts-Village/2715-106th-Pl-SE-98004/home/253539,June-30-2017,June-2017,98004,1966,474,530
17800 NE 12th St,https://www.redfin.com/WA/Bellevue/17800-NE-12th-St-98008/home/503557,July-3-2017,July-2017,98008,1969,449,502
1314 170th Pl NE,https://www.redfin.com/WA/Bellevue/1314-170th-Pl-NE-98008/home/431719,July-3-2017,July-2017,98008,1974,331,379
13632 NE 42nd St,https://www.redfin.com/WA/Bellevue/13632-NE-42nd-St-98005/home/430202,July-3-2017,July-2017,98005,1963,479,538
12613 SE 4th Pl,https://www.redfin.com/WA/Bellevue/12613-SE-4th-Pl-98005/home/509286,July-3-2017,July-2017,98005,1967,508,563
948 177th Ave NE,https://www.redfin.com/WA/Bellevue/948-177th-Ave-NE-98008/home/504946,July-3-2017,July-2017,98008,1963,443,502
